,ds,y
619,2022-02-22,273.8433228
620,2022-02-23,254.6799927
621,2022-02-24,266.9233398
622,2022-02-25,269.956665
623,2022-02-28,290.1433411
624,2022-03-01,288.1233215
625,2022-03-02,293.2966614
626,2022-03-03,279.7633362
627,2022-03-04,279.4299927
628,2022-03-07,268.1933289
629,2022-03-08,274.7999878
630,2022-03-09,286.3233337
631,2022-03-10,279.4333191
632,2022-03-11,265.1166687
633,2022-03-14,255.456665
634,2022-03-15,267.2966614
635,2022-03-16,280.0766602
636,2022-03-17,290.5333252
637,2022-03-18,301.7966614
638,2022-03-21,307.0533447
639,2022-03-22,331.3266602
640,2022-03-23,333.0366821
641,2022-03-24,337.9733276
642,2022-03-25,336.8800049
643,2022-03-28,363.9466553
644,2022-03-29,366.5233459
645,2022-03-30,364.6633301
646,2022-03-31,359.2000122
647,2022-04-01,361.5299988
648,2022-04-04,381.8166809
649,2022-04-05,363.7533264
650,2022-04-06,348.5866699
651,2022-04-07,352.4200134
652,2022-04-08,341.8299866
653,2022-04-11,325.3099976
654,2022-04-12,328.9833374
655,2022-04-13,340.7900085
656,2022-04-14,328.3333435
657,2022-04-18,334.7633362
658,2022-04-19,342.7166748
659,2022-04-20,325.7333374
660,2022-04-21,336.2600098
661,2022-04-22,335.0166626
662,2022-04-25,332.6733398
663,2022-04-26,292.1400146
664,2022-04-27,293.8366699
665,2022-04-28,292.5033264
666,2022-04-29,290.2533264
667,2022-05-02,300.980011
668,2022-05-03,303.0833435
669,2022-05-04,317.5400085
670,2022-05-05,291.0933228
671,2022-05-06,288.5499878
672,2022-05-09,262.3699951
673,2022-05-10,266.6799927
674,2022-05-11,244.6666718
675,2022-05-12,242.6666718
676,2022-05-13,256.5299988
677,2022-05-16,241.456665
678,2022-05-17,253.8699951
679,2022-05-18,236.6033325
680,2022-05-19,236.4733276
681,2022-05-20,221.3000031
682,2022-05-23,224.9666595
683,2022-05-24,209.386673
684,2022-05-25,219.6000061
685,2022-05-26,235.9100037
686,2022-05-27,253.2100067
687,2022-05-31,252.7533264
688,2022-06-01,246.7899933
689,2022-06-02,258.3333435
690,2022-06-03,234.5166626
691,2022-06-06,238.2799988
692,2022-06-07,238.886673
693,2022-06-08,241.8666687
694,2022-06-09,239.706665
695,2022-06-10,232.2299957
696,2022-06-13,215.7366638
697,2022-06-14,220.8899994
698,2022-06-15,233.0
699,2022-06-16,213.1000061
700,2022-06-17,216.7599945
701,2022-06-21,237.0366669
702,2022-06-22,236.0866699
703,2022-06-23,235.0700073
704,2022-06-24,245.706665
705,2022-06-27,244.9199982
706,2022-06-28,232.6633301
707,2022-06-29,228.4900055
708,2022-06-30,224.4733276
709,2022-07-01,227.2633362
710,2022-07-05,233.0666656
711,2022-07-06,231.7333374
712,2022-07-07,244.543335
713,2022-07-08,250.7633362
714,2022-07-11,234.343338
715,2022-07-12,233.0700073
716,2022-07-13,237.0399933
717,2022-07-14,238.3133392
718,2022-07-15,240.0666656
719,2022-07-18,240.5466614
720,2022-07-19,245.5299988
721,2022-07-20,247.5
722,2022-07-21,271.706665
723,2022-07-22,272.2433472
724,2022-07-25,268.4333191
725,2022-07-26,258.8599854
726,2022-07-27,274.8200073
727,2022-07-28,280.8999939
728,2022-07-29,297.1499939
729,2022-08-01,297.2766724
730,2022-08-02,300.5866699
731,2022-08-03,307.3966675
732,2022-08-04,308.6333313
733,2022-08-05,288.1700134
734,2022-08-08,290.4233398
735,2022-08-09,283.3333435
736,2022-08-10,294.3566589
737,2022-08-11,286.6300049
738,2022-08-12,300.0299988
